#          cos(kang)          kang (rad)                wang
       -1.0000000000        3.1415900000        0.0036231900
       -0.9867310000        2.9785000000        0.0222369000
       -0.9557480000        2.8429900000        0.0396317000
       -0.9077060000        2.7085800000        0.0563098000
       -0.8434640000        2.5745000000        0.0719819000
       -0.7641700000        2.4405500000        0.0863690000
       -0.6712400000        2.3066800000        0.0992148000
       -0.5663310000        2.1728400000        0.1102900000
       -0.4513160000        2.0390400000        0.1193970000
       -0.3282480000        1.9052400000        0.1263740000
       -0.1993210000        1.7714600000        0.1310950000
       -0.0668380000        1.6376800000        0.1334770000
        0.0668380000        1.5039100000        0.1334770000
        0.1993210000        1.3701300000        0.1310950000
        0.3282480000        1.2363500000        0.1263740000
        0.4513160000        1.1025600000        0.1193970000
        0.5663310000        0.9687490000        0.1102900000
        0.6712400000        0.8349160000        0.0992148000
        0.7641700000        0.7010420000        0.0863690000
        0.8434640000        0.5670970000        0.0719819000
        0.9077060000        0.4330130000        0.0563098000
        0.9557480000        0.2986040000        0.0396317000
        0.9867310000        0.1630880000        0.0222369000
        1.0000000000        0.0000000000        0.0036231900
